"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"泛微小e意图识别","考勤管理","考勤管理>打卡>签退","0","0","7","0","0"
"泛微小e意图识别","考勤管理","考勤管理>打卡>签到","0","0","6","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>打卡>签到","0","6","0","0","0"
"泛微小e意图识别","考勤管理","考勤管理>打卡>打卡规定查询","6","0","0","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>请假>请假","0","0","6","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>请假>撤回请假","0","0","2","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>打卡>签退","0","7","0","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>考勤报表","0","0","5","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>假期额度","0","0","6","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>打卡>外勤签到","0","2","0","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>请假>查询请假制度","0","0","5","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>加班>申请加班","0","1","0","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>打卡>打卡规定查询","0","6","0","0","0"
"泛微小e意图识别","考勤管理","考勤管理>打卡>外勤签到","0","0","2","0","0"
"项目名称：泛微小e意图识别","考勤管理","考勤管理>打卡>外勤签退","0","1","0","0","0"
"泛微小e意图识别","考勤管理","考勤管理>打卡>外勤签退","0","0","1","0","0"
